English,Bulgarian
second,секунда
bed,легло
order,поръчка / ред
author,автор
fill,пълня
represent,представлявам
focus,фокус
foreign,чужд
drop,пускам
plan,планирам
blood,кръв
upon,върху
agency,агенция
push,бутам
nature,природа
color,цвят
no,не
recently,наскоро
store,магазин
reduce,намалявам
sound,звук
note,бележка
fine,добре / глоба

